state,abbreviation,boe_url
Alabama,AL,https://www.alabamaachieves.org/state-board-of-education/
Alaska,AK,https://education.alaska.gov/State_Board
Arizona,AZ,https://azsbe.az.gov/
Arkansas,AR,https://dese.ade.arkansas.gov/stateboard
California,CA,https://www.cde.ca.gov/be/
Colorado,CO,https://ed.cde.state.co.us/cdeboard
Connecticut,CT,https://portal.ct.gov/sde/board/state-board-of-education
Delaware,DE,https://education.delaware.gov/community/governance/state-board-of-education/
Florida,FL,https://www.fldoe.org/policy/state-board-of-edu/
Georgia,GA,https://gadoe.org/state-board/
Hawaii,HI,https://boe.hawaii.gov/
idaho,ID,https://boardofed.idaho.gov/
Illinois,IL,https://www.isbe.net/
Indiana,IN,https://www.in.gov/sboe/
Iowa,IA,https://educate.iowa.gov/boards/board-education
Kansas,KS,https://www.ksde.gov/board
Kentucky,KY,https://www.education.ky.gov/KBE/Pages/default.aspx
Louisiana,LA,https://bese.louisiana.gov/
Maine,ME,https://www.maine.gov/doe/about/leadership/stateboard
Maryland,MD,https://marylandpublicschools.org/stateboard/pages/default.aspx
Massachusetts,MA,https://www.doe.mass.edu/bese/
Michigan,MI,https://www.michigan.gov/mde/about-us/state-board
Minnesota,MN,https://education.mn.gov/mde/index.htm
Mississippi,MS,https://mdek12.org/mbe/
Missouri,MO,https://dese.mo.gov/about/state-board-education
Montana,MT,https://bpe.mt.gov/
Nebraska,NE,https://www.education.ne.gov/stateboard/
Nevada,NV,https://doe.nv.gov/boards-commissions-councils/state-board-of-education
New Hampshire,NH,https://www.education.nh.gov/who-we-are/state-board-of-education
New Jersey,NJ,https://www.nj.gov/education/sboe/
New Mexico,NM,https://web.ped.nm.gov/
New York,NY,https://www.regents.nysed.gov/
North Carolina,NC,https://www.dpi.nc.gov/about-dpi/state-board-education
North Dakota,ND,https://www.nd.gov/dpi/familiescommunity/community/boards-and-committees/state-board-public-school-education
Ohio,OH,https://sboe.ohio.gov/
Oklahoma,OK,https://oklahoma.gov/education/state-board-of-education.html
Oregon,OR,https://www.oregon.gov/ode/about-us/stateboard/pages/default.aspx
Pennsylvania,PA,https://www.pa.gov/agencies/stateboard
Rhose Island,RI,https://ride.ri.gov/board-education
South Carolina,SC,https://www.ed.sc.gov/state-board/
South Dakota,SD,
Tennessee,TN,https://www.tn.gov/sbe.html
Texas,TX,https://sboe.texas.gov/
Utah,UT,https://www.schools.utah.gov/
Vermont,VT,https://education.vermont.gov/state-board-councils/state-board
Virginia,VA,https://www.doe.virginia.gov/data-policy-funding/virginia-board-of-education
Washington,WA,https://sbe.wa.gov/
West Virginia,WV,https://wvde.us/divisions-offices/west-virginia-board-education
Wisconsin,WI,
Wyoming,WY,https://wyboardofeducation.org/
