full_name,address,state_abbr,website,phone,display_name
Alabama Department of Education,"50 North Ripley Street, Montgomery, 36104-3833",AL,https://www.alabamaachieves.org,(334) 694-4900,Alabama
Alaska Department of Education and Early Development,"333 Willoughby Ave, 9th Floor, Juneau, 99801",AK,http://education.alaska.gov/,(907) 465-2800,Alaska
American Samoa,N/A,AS,https://www.amsamoadoe.com/,(684) 633-5237,American Samoa
Arizona Department of Education,"1700 W. Washington St. Executive Tower Suite, Phoenix, 85007",AZ,http://www.ade.az.gov/,(602) 542-5057,Arizona
Arkansas Department of Education,"Four State Capitol Mall, Little Rock, 72201-1071",AR,http://ade.arkansas.gov/,(501) 682-4475,Arkansas
California Department of Education,"1430 N Street, Sacramento, 95814-5901",CA,http://www.cde.ca.gov/,916-319-0800,California
Colorado Department of Education,"201 East Colfax Avenue, Denver, 80203-1704",CO,http://www.cde.state.co.us/,(303) 866-6600,Colorado
Connecticut Department of Education,"450 Columbus Boulevard, Hartford, 06103",CT,https://portal.ct.gov/sde,(860) 713-6543,Connecticut
Delaware Department of Education,"401 Federal Street, Dover, 19901-3639",DE,http://www.doe.k12.de.us/,(302) 735-4000,Delaware
Office of the State Superintendent,"1050 First Street, NE, Washington, 20202",DC,https://dcps.dc.gov/,(202) 442-5885,District of Columbia
Federated States of Micronesia,N/A,FM,http://national.doe.fm,(691) 320-2609,Federated States of Micronesia
Florida Department of Education,"325 West Gaines Street, Tallahassee, 32399-0400",FL,http://www.fldoe.org/,(850) 245-0505,Florida
Georgia Department of Education,"205 Jesse Hill Jr. Drive, SE, Atlanta, 30334-5001",GA,https://www.gadoe.org,(404) 656-2800,Georgia
"Department of Education, Government of Guam","501 Mariner Avenue, Barrigada, 96931",GU,https://www.gdoe.net/,(671) 300-1536,Guam
Hawaii Department of Education,"1390 Miller Street, Honolulu, 96813",HI,http://www.hawaiipublicschools.org/Pages/home.aspx,(808) 784-6200,Hawaii
Idaho State Department of Education,"650 West State Street, Boise, 83702",ID,http://sde.idaho.gov/index.html,(208) 332-6800,Idaho
Illinois State Board of Education,"100 North First Street, Springfield, 62777",IL,http://www.isbe.net/,(217) 782-4321,Illinois
Indiana Department of Education,"100 N Senate Ave, Indianapolis, 46204-2795",IN,https://www.in.gov/doe/,(317) 232-6610,Indiana
Iowa Department of Education,"400 East 14th Street, Des Moines, 50319-0146",IA,http://educateiowa.gov,(515) 281-5294,Iowa
Kansas Department of Education,"900 SW Jackson Street, Topeka, 66612-1212",KS,http://www.ksde.org/,(785) 296-3201,Kansas
Kentucky Department of Education,"300 Sower Blvd., Frankfort, 40601",KY,http://www.education.ky.gov,(502) 564-2000,Kentucky
Louisiana Department of Education,"1201 North Third Street, Baton Rouge, 70804-9064",LA,http://www.louisianabelieves.com/,(877) 453-2721,Louisiana
Maine Department of Education,"23 State House Station, Augusta, 04333-0023",ME,http://www.maine.gov/doe/,(207) 624-6600,Maine
Maryland State Department of Education,"200 West Baltimore Street, Baltimore, 21201",N/A,http://www.marylandpublicschools.org,(410) 767-0100,Maryland
Massachusetts Department of Elementary and Secondary Education,"135 Santilli Highway, Everett, 02149",MA,http://www.doe.mass.edu/,(781) 338-3000,Massachusetts
Michigan Department of Education,"608 West Allegan Street, Lansing, 48909",MI,http://www.michigan.gov/mde/,(833) 633-5788,Michigan
Minnesota Department of Education,"400 NE Stinson Blvd, Minneapolis, 55413",MN,http://education.state.mn.us/mde/index.html,(651) 582-8200,Minnesota
Mississippi Department of Education,"3825 Ridgewood Road, Jackson, 39205",MS,https://www.mdek12.org/,(601) 359-3513,Mississippi
Missouri Department of Elementary and Secondary Education,"205 Jefferson Street, Jefferson City, 65101-0480",MO,http://dese.mo.gov/,(573) 751-4212,Missouri
Montana Office of Public Instruction,"560 N. Park Ave, Helena, 59620-2501",MT,http://www.opi.mt.gov/,(406) 444-3680,Montana
Nebraska Department of Education,"500 South 84th Street, Lincoln, 68510-2611",NE,http://www.education.ne.gov,(402) 471-2295,Nebraska
Nevada Department of Education,"700 East Fifth Street, Carson City, 89701",NV,https://doe.nv.gov/,(775) 687-9115,Nevada
New Hampshire Department of Education,"25 Hall Street, Concord, 03301-3860",NH,https://www.education.nh.gov/,(603) 271-3494,New Hampshire
New Jersey Department of Education,"100 Riverview Plaza, Trenton, 08625-0500",NJ,http://www.state.nj.us/education/,(609) 376-3500,New Jersey
New Mexico Higher Education Department,"300 Don Gaspar Avenue, Santa Fe, 87501",NM,https://webnew.ped.state.nm.us/,(505) 827-5800,New Mexico
